site,file_name,buf_crop_1992,buf_crop_2005,buf_past_1993,buf_past_2009,buf_HFP_1993,buf_HFP_2009,temp
22688,df_France_Irzetal_part2.xlsx,7,7,0,0,12.62954807,14.62954807,13.15
23489,df_France_Irzetal_part2.xlsx,7,0,0,1,10.28777504,4.28777504,12.05
21639,df_France_Irzetal_part2.xlsx,7,7,0,0,30.5,33,10.05
21841,df_France_Irzetal_part2.xlsx,0,0,0,0,11.2,12,12.55
21786,df_France_Irzetal_part2.xlsx,7,7,0,0,12.62954807,14.62954807,13.15
22298,df_France_Irzetal_part2.xlsx,7,7,0,0,16.93205595,16.93205595,13.55
22791,df_France_Irzetal_part2.xlsx,5.25,0,0,0,30.25,31.75,10.25
23879,df_France_Irzetal_part2.xlsx,7,0,0,0,10.75750732,3.757507324,10.95
22760,df_France_Irzetal_part2.xlsx,0,0,0,0,5.42394942,5.42394942,10.35
22814,df_France_Irzetal_part2.xlsx,7,5.25,0,0,10.29485488,9.294854879,11.55
23136,df_France_Irzetal_part2.xlsx,0,0,0,0,6.771498919,6.771498919,12.05
21783,df_France_Irzetal_part2.xlsx,7,1.4,0,0.8,17.88126297,13.08126316,12.35
23848,df_France_Irzetal_part2.xlsx,7,1.75,0,0.75,19.93205595,17.18205595,11.65
22071,df_France_Irzetal_part2.xlsx,3.5,0,0,0,13.15738702,10.15738702,11.55
21788,df_France_Irzetal_part2.xlsx,7,7,0,0,11.41507626,12.41507626,13.55
22763,df_France_Irzetal_part2.xlsx,7,7,0,0,18.94564476,22.34564476,13.65
23462,df_France_Irzetal_part2.xlsx,2.8,0,0.6,1,7.135369587,4.335369682,12.35
23960,df_France_Irzetal_part2.xlsx,0,0,0,0,40,40,13.25
23492,df_France_Irzetal_part2.xlsx,7,0,0,2,19.18205595,16.18205595,12.15
23050,df_France_Irzetal_part2.xlsx,0,0,0,0,3.78777504,3.53777504,10.65
23744,df_France_Irzetal_part2.xlsx,0,0,0,0,5.750052452,5.000052452,12.25
22647,df_France_Irzetal_part2.xlsx,0,0,0,0,35.25,35,13.65
21992,df_France_Irzetal_part2.xlsx,7,7,0,0,18.94564476,22.34564476,13.65
22216,df_France_Irzetal_part2.xlsx,7,1.75,0,0.75,19.93205595,17.18205595,11.65
23473,df_France_Irzetal_part2.xlsx,7,7,0,0,16.00599613,16.00599613,10.55
